ID,angle,latitude,longitude,Name,area_index,distance_cityCenter,mod_count_POI,count_station,mod_area_park,travel_time,FromHomeScore,FromOfficeScore,rent_price,building,sky,road,signboard,wall,tree,sidewalk,fence,x1_poi,x2_station,x3_park,x4_time,Q1_home,Q2_office,rent
8,173.975405,22.28393386,114.1279539,"Central And Western
",1,5706.419111,926,71,54652.30444,34.23851467,869.2825806,1015.742901,,0.585891,0.01816,0.253863,0.010047,0,0,0.088578,0.006281,0.579609817,0.27734375,0.066804439,0.256387845,0.254655939,0.57011271,-0.126550868
13,81.03838282,22.28215392,114.1251968,"Central And Western
",1,6051.35215,253,71,46754.86671,36.3081129,951.3636792,948.5135344,15900,0.202648,0.03584,0.376332,0.003227,0.004219,0.298297,0.029078,0.010277,0.156073002,0.27734375,0.057150978,0.272059691,0.437144267,0.37088951,0.070719603
23,315.1624753,22.28107461,114.1522307,"Central And Western
",1,3412.942681,651,162,272470.9476,20.47765609,1109.19058,1096.984494,,0.537676,0.015723,0.275316,0.001867,0,0.000242,0.082598,0.03018,0.406544997,0.6328125,0.333055835,0.152184978,0.788035857,0.810858843,-0.126550868
37,250.8572191,22.288042,114.1383677,"Central And Western
",1,4596.965512,457,100,137552.1889,27.58179307,1028.563042,948.0611062,,0.23157,0.231574,0.332891,0,0.067758,0.130746,0,0.005117,0.284455632,0.390625,0.168137409,0.205980418,0.608779185,0.369548813,-0.126550868
47,114.58954,22.2861415,114.1613273,"Central And Western
",1,2541.951451,628,138,220663.7495,15.25170871,1093.019706,1071.493935,,0.212398,0.275039,0.256164,0.014418,0,0.024215,0.007566,0,0.392070485,0.5390625,0.269729122,0.112611961,0.752083662,0.735321751,-0.126550868
48,104.1784915,22.28546535,114.1345878,"Central And Western
",1,5076.816964,416,92,130148.8883,30.46090178,1000.268569,934.7275479,11500,0.593652,0.025273,0.212789,0.018477,0,0.025566,0.072988,0.025113,0.258653241,0.359375,0.159087958,0.22778221,0.545872973,0.330037,0.016129032
52,133.8677704,22.2710461,114.1238838,"Central And Western
",1,6419.209856,462,58,61730.17004,38.51525914,853.3341782,904.884268,26164.28571,0.425156,0.036926,0.150895,0,0.020219,0.087156,0.086895,0,0.287602266,0.2265625,0.075456094,0.288773108,0.219198357,0.241601336,0.198068061
55,327.5735126,22.27762078,114.1574686,"Central And Western
",1,2889.750674,1132,147,210747.0719,17.33850404,1107.922608,958.4060532,22933.33333,0.410984,0.097441,0.341363,0.008398,0.015785,0.08102,0,0.001258,0.709251101,0.57421875,0.257607436,0.128414031,0.785216815,0.400204366,0.157981803
79,289.3654603,22.28610222,114.1489934,"Central And Western
",1,3797.458353,651,150,146520.4382,22.78475012,754.7413415,960.288674,,0.593555,0,0.320945,0.00698,0.000023,0,0.029316,0,0.406544997,0.5859375,0.179099781,0.169655241,0,0.405783204,-0.126550868
83,34.82985735,22.2795261,114.1643402,"Central And Western
",1,2166.822657,810,158,218774.9765,13.00093594,1060.135799,1073.48794,,0.52441,0.037223,0.239812,0.003703,0,0.008617,0.064699,0.022902,0.50660793,0.6171875,0.267420373,0.095568186,0.678973904,0.741230658,-0.126550868
108,195.2565747,22.28691742,114.1513793,"Central And Western
",1,3565.843839,1001,152,377790.5315,21.39506303,1086.47844,1039.007135,,0.621996,0,0.247395,0.032285,0,0,0.05468,0.005371,0.626809314,0.59375,0.461793605,0.15913196,0.737540671,0.63905245,-0.126550868
120,92.84801183,22.27578124,114.1565789,"Central And Western
",1,3009.294721,602,140,205688.222,18.05576833,893.6378121,1039.800943,,0.522449,0.025578,0.184055,0,0,0.034246,0.096254,0,0.375707992,0.546875,0.251423732,0.133845451,0.30880416,0.641404768,-0.126550868
139,226.6226147,22.2865652,114.1314853,"Central And Western
",1,5240.222452,366,77,117326.3598,31.44133471,1033.996447,944.5491472,16500,0.291359,0.192535,0.26773,0.009086,0.016574,0.065539,0.085367,0.000824,0.22718691,0.30078125,0.143414295,0.23520645,0.620859104,0.359141698,0.078163772
152,259.3721825,22.28266627,114.1286579,"Central And Western
",1,5740.296557,341,76,54926.70276,34.44177934,842.0382271,949.1687544,,0.557484,0.019402,0.190617,0.010125,0,0,0.109039,0,0.211453744,0.296875,0.067139851,0.257927048,0.194084424,0.372831146,-0.126550868
191,307.3783861,22.2799241,114.1649121,"Central And Western
",1,2106.232003,817,159,218774.9765,12.63739202,1127.586191,1008.282779,,0.353848,0.11284,0.30775,0,0.013645,0.046805,0.001578,0.00848,0.511013216,0.62109375,0.267420373,0.092815283,0.828934242,0.54800586,-0.126550868
