FID,angle,latitude,longitude,wall,ceiling,road,earth,building,sky,tree,sidewalk,person,car,fence,railing,signboard,bridge,minibike,grass,mountain,skyscraper,streetlight,plant,van,column,windowpane,ashcan,awning,bicycle,fountain,water,sculpture,bulletin board,lamp,chair
14001,174.686492,22.37366323,114.2140257,0.36457,0.294727,0.264297,0.004277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14002,209.8593135,22.3579633,114.1732685,0,0,0.425176,0.001836,0.046719,0.072438,0.187359,0.000289,0.005863,0.001094,0.052176,0.031895,0.001191,0.135395,0.00734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14003,249.9777089,22.34825629,114.1533621,0.248992,0.380836,0.17391,0.054508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14004,157.9322887,22.3753688,114.1806826,0,0,0.421121,3.50E-05,0.230219,0.148082,0.020125,0.001383,0.001363,0,0.059102,0,0.022762,0.002168,0,0.00298,0.00557,0.043598,8.20E-05,0,0,0,0,0,0,0,0,0,0,0,0,0
14005,37.91393664,22.42873424,114.2085339,0.003969,0,0.317883,0,0.204254,0.181484,0.120703,0.051199,0,0.004457,0.001281,5.50E-05,0.000945,0,0,0.031293,0,0.014234,0,0.019883,0.048359,0,0,0,0,0,0,0,0,0,0,0
14006,295.1072216,22.43090868,114.2409339,0.004027,0,0.254949,0.000582,0.073992,0.324844,0.145688,0.019176,0.001453,0.111543,0.029344,0,0.002219,0,0,0,0,0,0.003062,0.028219,0,0,0,0,0,0,0,0,0,0,0,0
14007,301.3122732,22.40603324,114.2019693,0.178676,0,0.060363,0.000418,0.086328,0.219418,0.129535,0.061863,0,0,0.083445,0,0,0,0,0,0,0,0,0.119777,0,0,0,0,0,0,0,0,0,0,0,0
14008,342.3386213,22.41213764,114.2334919,0,0,0.138215,0.118988,0,0.190465,0.419965,0.012891,0,0.001211,0.082441,0,0.010141,0,0,0.000129,0,0,0,0.012812,0,0,0,0,0,0,0,0,0,0,0,0
14009,253.2667883,22.4274847,114.2396943,0,0,0.217168,0.101164,0.068004,0.177828,0.341137,0.052172,0,0.020793,0.001996,0,0,0,0,0.002473,0,0,0,0.006539,0,0,0,0,0,0,0,0,0,0,0,0
14010,47.28913552,22.36993808,114.1880803,0.001766,0,0.289336,0.00268,0,0.141926,0.354488,0,0,0.03252,0.02909,0.02668,0.066453,0.005918,0,0,0.030281,0,0,0,0,0.000211,0,0,0,0,0,0,0,0,0,0
14011,121.9315302,22.39785205,114.1960177,0,0,0.244898,0,0.418734,0.026113,0.137895,0.061984,0,0.03034,0.040312,0,0.013422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14012,48.32761321,22.37648262,114.1765551,0.260125,0.104117,0.2795,0.033227,0.093172,0.130758,0,0,0,0.052453,0,0,0,0.000203,0,0,0,0,0,0,0,0,0.004902,0,0,0,0,0,0,0,0,0
14013,65.07583725,22.37485656,114.1966024,0,0,0.301129,0.004348,0.003828,0.095918,0.280957,0,0,0.009137,0.019875,0,0.099715,0.012852,0,0.091871,0.06123,0,0,0.019141,0,0,0,0,0,0,0,0,0,0,0,0
14014,313.9839159,22.38491391,114.2037921,0,0,0,0,0,0.998758,0,0,0,0,0,0,0.001242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14015,314.7943547,22.38726759,114.2019955,0,0,0,0,0,0.998758,0,0,0,0,0,0,0.001242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14016,63.67328367,22.37833021,114.2038909,0.076652,0,0.255508,0.019582,0.116938,0.256859,0.103328,0.003602,0,0.006379,0.060625,0.001676,0.007656,0.000172,0,0,0.062031,0.027445,0.000137,0,0,0,0,0,0,0,0,0,0,0,0,0
14017,135.9415771,22.41024826,114.2113773,0.002066,0,0.183605,0.187344,0.004191,0.385465,0.141434,0.005566,0,0.00502,0.054328,0,0.000637,0,0,0.004496,0.023109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14018,151.8341913,22.36204869,114.1743014,2.70E-05,0,0.403516,0,0.146523,0.024617,0.269438,0.006867,0,0,0.001641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14019,225.1736261,22.3828151,114.1882101,0.037734,0,0.277078,0.001,0.414363,0.038539,0.072168,0.047859,0,0.007781,0.083363,0.000113,0.009781,0,0,0,0,0,0.000582,0,0.00116,0,0,0,0,0,0,0,0,0,0,0
14020,42.31415279,22.39958084,114.1938931,0.005008,0,0.187215,0,0.193676,0.128895,0.221141,0.071188,0.002215,0.090871,0.007387,0.009598,0.012824,0,0,0,0,0,0,0.004012,0,0,0,0.000215,0,0,0,0,0,0,0,0
14021,30.7981912,22.3758424,114.1759851,0.201262,0.119047,0.359945,0,0.173656,0.095582,0.001211,0.007816,0,0,0.010578,2.00E-05,0.002398,0,0,0,0,0,0,0,0,0,0.028477,0,0,0,0,0,0,0,0,0
