ID,JPG_ID,Lat,Lng,Q1_Text,Q1_Type,Q2_Order,Q3_Access,Q4_Aesth,Q5_Eco,Q6_Enclo,Q7_Richness,Q8_Scale,wall,building,sky,tree,road,sidewalk,grass,earth,signboard,plant,fence,streetlight,mountain,railing,column,bridge,water,ashcan,awning,windowpane,skyscraper,ct_person,ct_bicycle,ct_car,ct_motorcycle,ct_truck,ct_traffic light,ct_bus,ct_bench,ct_boat,ct_stop sign,ct_parking meter,ct_dining table
0,0,52.51153999,13.30502164,Comm,2,0.778286462,0.84039202,0.59966611,0.360808709,0.578130055,0.714419184,0.684782609,0.002605,0.171141,0.189527,0.190051,0.350102,0.011617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,36,1,1,0,0,0,0,0,0,0
1,1,52.41760171,13.14023839,Rural,5,0.480052322,0.260063003,0.461101836,0.611197512,0.310255581,0.130177515,0.257246377,0,0,0.127801,0.392734,0.307738,0,0.113199,0.046516,0.000727,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
2,3,52.54634181,13.50876306,Subur,3,0.457161543,0.231711586,0.300834725,0.33437014,0.079585895,0.415446901,0.166007905,0,0.014219,0.316996,0.185371,0.36216,0.000852,0.012609,0.076082,0.000285,0,0.016055,0.000781,0,0,0,0,0,0,0,0,0,2,0,16,0,1,0,0,0,0,0,0,0
3,5,52.48884083,13.41952728,Resi,0,0.422825376,0.669233462,0.542904841,0.481493002,0.582982853,0.691061974,0.860013175,0.002371,0.266027,0.066969,0.257957,0.261715,0.000266,0,0,0.001094,0.033434,0,0,0,0,0,0,0,0,0,0,0,1,6,18,0,0,0,0,0,0,0,0,0
4,6,52.40605961,13.50289495,Rural,5,0.52910399,0.419320966,0.388647746,0.930637636,0.458751213,0.385238244,0.38801054,0.002168,0.003012,0.327094,0.215684,0.122168,0,0.004191,0.000352,0,0.244051,0.003309,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
5,7,52.5485512,13.3364437,Resi,0,0.528776978,0.365768288,0.356594324,0.666251944,0.689097379,0.389598256,0.620223979,0,0.134324,0.191766,0.282523,0.203977,0.088133,0.004059,0.001801,0.003234,0.044812,0.041578,0.001199,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
6,10,52.5081137,13.2321415,Resi,0,0.529758012,0.492474624,0.611686144,0.622083981,0.429957942,0.857988166,0.726613966,0.004418,0.075797,0.187301,0.260348,0.196406,0.052004,0.000402,0.009086,0,0.063949,0.039898,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0
7,11,52.50347345,13.30822215,Comm,2,0.63145847,0.89639482,0.879799666,0.457542768,0.56163054,0.832762379,0.915678524,0,0.241031,0.091727,0.253629,0.271285,0.006852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,21,2,1,0,1,0,0,0,0,0
8,15,52.5917965,13.3924103,Resi,0,0.44735121,0.565628281,0.475459098,0.791912908,0.496926561,0.692619122,0.717720685,0.010691,0.203039,0.117848,0.277094,0.208086,0.002242,0.115402,0.002129,0,0.003414,0.001719,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
9,17,52.4987467,13.4181665,Comm,2,0.268803139,0.743087154,0.413355593,0.422395023,0.508573277,0.758330738,0.469367589,0,0.122203,0.216164,0.174684,0.327695,0.008379,0.005945,0.091801,0.008824,0.000633,0.004508,0,0,0.01198,0,0,0,0,0,0,0,8,3,9,0,0,0,2,3,0,0,0,0
