FID,surface,oneway,maxspeed,angle,latitude,longitude,highway,Name,area_index,count_station,count_Airbnb,count_hotel,count_POI,count_elder,elder_beds,distance_cityCenter(m),distance_Metro(m),area_park(m²),rent_price(HK$),rent_price(￥),Ave_rent_price ($),Ave_rooms,Ave_SA (m²),travel_time(mins),sky,road,sidewalk,tree,plant,building,grass,wall,earth,fence
8,asphalt,yes,0,173.975405,22.28393386,114.1279539,residential,"Central And Western
",1,71,4,8,323,12,589,5706.419111,313.9453687,54652.30444,38500,5005,31620.6897,2.1724,61.0661,34.23851467,0.01816,0.253863,0.088578,0,0,0.585891,0,0,0,0.006281
13,asphalt,0,0,81.03838282,22.28215392,114.1251968,secondary,"Central And Western
",1,71,2,5,253,11,789,6051.35215,350.9710796,46754.86671,27000,3510,32479.1667,2.2083,63.0037,36.3081129,0.03584,0.376332,0.029078,0.298297,0.025992,0.202648,0.003723,0.004219,0.000133,0.010277
23,asphalt,0,0,315.1624753,22.28107461,114.1522307,secondary,"Central And Western
",1,162,35,45,651,8,585,3412.942681,602.1433082,272470.9476,21770.8303,2830.207939,24088.7273,2.1758,55.0802,20.47765608,0.015723,0.275316,0.082598,0.000242,0.004238,0.537676,0,0,0,0.03018
37,asphalt,yes,80,250.8572191,22.288042,114.1383677,trunk,"Central And Western
",1,100,16,29,457,18,1087,4596.965512,538.2094215,137552.1889,15000,1950,33192.4528,2.1698,61.621,27.58179307,0.231574,0.332891,0,0.130746,0,0.23157,0,0.067758,0.000273,0.005117
48,asphalt,yes,0,104.1784915,22.28546535,114.1345878,residential,"Central And Western
",1,92,11,19,416,18,1083,5076.816964,190.1947856,130148.8883,36791.66667,4782.916667,32260.9756,2.2439,62.5328,30.46090178,0.025273,0.212789,0.072988,0.025566,0.01307,0.593652,0,0,0,0.025113
55,asphalt,yes,0,327.5735126,22.27762078,114.1574686,secondary_link,"Central And Western
",1,147,28,42,644,4,263,2889.750674,467.8559261,210747.0719,89000,11570,22634.9929,2.1738,53.5721,17.33850404,0.097441,0.341363,0,0.08102,0.000723,0.410984,0.001652,0.015785,0,0.001258
120,asphalt,yes,0,92.84801183,22.27578124,114.1565789,tertiary,"Central And Western
",1,140,27,33,602,1,44,3009.294721,684.9935867,205688.222,90333.33333,11743.33333,22663.9137,2.1763,53.7404,18.05576833,0.025578,0.184055,0.096254,0.034246,0.008594,0.522449,0,0,0,0
139,asphalt,yes,50,226.6226147,22.2865652,114.1314853,primary,"Central And Western
",1,77,11,14,366,16,892,5240.222452,503.9475878,117326.3598,28833.33333,3748.333333,31756.25,2.1562,60.2563,31.44133471,0.192535,0.26773,0.085367,0.065539,0.01098,0.291359,0.00093,0.016574,0,0.000824
152,concrete,yes,0,259.3721825,22.28266627,114.1286579,secondary,"Central And Western
",1,76,4,9,341,13,689,5740.296557,171.6251507,54926.70276,37250,4842.5,31620.6897,2.1724,61.0661,34.44177934,0.019402,0.190617,0.109039,0,0,0.557484,0,0,0,0
166,asphalt,yes,0,81.06980959,22.28217368,114.1493153,tertiary,"Central And Western
",1,161,37,47,673,12,789,3717.525346,556.8482083,225209.251,38753.33333,5037.933333,23997.8698,2.1598,54.4989,22.30515208,0.012938,0.004242,0.205863,0.004238,0.00068,0.639074,0,0.031988,0,0.000516
224,concrete,yes,0,192.3128459,22.28628537,114.1512065,tertiary,"Central And Western
",1,155,37,47,598,11,750,3572.58247,90.58684159,264491.0525,20000,2600,24015.7143,2.1667,54.6607,21.43549482,0,0.160281,0.130738,0,0,0.670621,0,0,0,0
275,asphalt,yes,80,276.2411899,22.28872785,114.1451772,trunk,"Central And Western
",1,125,30,45,591,18,1087,4053.540665,437.2866813,142886.5509,31000,4030,24806.4773,2.1761,55.8395,24.32124399,0.304453,0.372176,0,0.001969,0,0.231375,0,0.00902,0.016883,0.047633
