FID,wall,building,sky,tree,road,sidewalk,earth,mountain,car,streetlight,grass,person,plant,fence,railing,bridge,signboard,van,windowpane,column,awning,bicycle,ashcan,pier,ceiling,water,minibike,chair,lake
1652,0.052047,0.034266000000000005,0.218863,0.268801,0.28693,0.0009609999999999999,0.07203899999999999,0.01591,0.031324,0.002672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1653,3.5e-05,0.068047,0.352867,0.084602,0.293336,7.8e-05,0.11407,0.0,0.011176,0.002648,0.000254,0.001391,0.000469,0.014953,0.019129,0.00045700000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654,0.005359,0.050117,0.353191,0.07400000000000001,0.379625,0.021746,0.000266,0.0,0.036875,0.001984,1.6e-05,0.0,0.0,0.06378099999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1655,0.040934,0.032668,0.349598,0.135641,0.29435500000000003,0.007737999999999999,0.027101999999999998,0.0,0.02434,0.000254,0.0,0.0,0.007078,0.043733999999999995,0.000371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1656,0.07897699999999999,0.060074,0.332473,0.134535,0.313465,0.012156,0.0025,0.0,0.027824,0.0,0.000105,0.0,0.001551,0.019125,0.016035,0.0,0.00109,9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1657,0.006789,0.281465,0.134047,0.29009,0.02182,0.0,0.001801,0.004414,7e-05,0.0,0.048246,0.024141,0.0,0.0,0.0,0.0,0.023746,0.0,0.00148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1658,0.004039,0.003848,0.2395,0.24764499999999998,0.341781,0.089758,0.0,0.0,0.030387,5.9e-05,0.001457,0.0,0.01043,0.024074,0.000207,0.0,0.006344,0.0,0.0,0.00047300000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1659,0.048984,0.028219,0.072918,0.325387,0.338688,0.006437999999999999,0.096227,0.0,0.020819999999999998,0.0,0.0,0.0,0.039234,0.020352000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1660,0.037413999999999996,0.101797,0.160918,0.268602,0.23730900000000002,0.022258,0.082062,0.0,0.075438,0.0,0.0,0.0,0.00143,0.004229999999999999,0.007336,0.0,0.001059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752,0.072246,0.10582799999999999,0.158301,0.204352,0.245461,0.0,0.0,0.0,0.0,0.0,0.020082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
