ID,Lat,Lng,Angle,OsmId,DistrictName,DistrictID,Is North-South road,test sum
1.0,22.2870124,114.1526931,304.3325528,33613890.0,"Central And Western
",1.0,False,2.0
2.0,22.2688335,114.1592171,71.67045,156335576.0,"Central And Western
",1.0,True,3.0
3.0,22.28807789,114.1448618,182.0148617,89141570.0,"Central And Western
",1.0,False,4.0
4.0,22.28776957,114.1357101,58.87940866,31846856.0,"Central And Western
",1.0,True,5.0
5.0,22.2855951,114.1574141,101.6480007,260953076.0,"Central And Western
",1.0,True,6.0
6.0,22.280793,114.1593681,105.0359471,88695241.0,"Central And Western
",1.0,True,7.0
7.0,22.27281403,114.1614749,70.20856958,156335554.0,"Central And Western
",1.0,True,8.0
8.0,22.28393386,114.1279539,173.975405,396548425.0,"Central And Western
",1.0,False,9.0
9.0,22.287635,114.1520459,198.2020478,89141498.0,"Central And Western
",1.0,False,10.0
10.0,22.2809742,114.1284776,168.8034802,867550267.0,"Central And Western
",1.0,False,11.0
11.0,22.2885185,114.1438073,182.4568484,42199102.0,"Central And Western
",1.0,False,12.0
12.0,22.27592073,114.1549937,195.35432,131023315.0,"Central And Western
",1.0,False,13.0
13.0,22.28215392,114.1251968,81.03838282,867550289.0,"Central And Western
",1.0,True,14.0
14.0,22.2835097,114.1613738,107.1233494,918684219.0,"Central And Western
",1.0,True,15.0
15.0,22.28553282,114.1523532,304.9143224,148228831.0,"Central And Western
",1.0,False,16.0
16.0,22.278312,114.153097,188.8171999,881011418.0,"Central And Western
",1.0,False,17.0
17.0,22.2766309,114.1578768,198.0507087,666136214.0,"Central And Western
",1.0,False,18.0
18.0,22.2821554,114.1426832,232.2841827,31853861.0,"Central And Western
",1.0,False,19.0
19.0,22.26650573,114.1592279,259.0298768,245435901.0,"Central And Western
",1.0,False,20.0
20.0,22.2838978,114.1367246,30.54976589,946521285.0,"Central And Western
",1.0,False,21.0
21.0,22.28692,114.15425,268.8197705,288198072.0,"Central And Western
",1.0,False,22.0
22.0,22.2713387,114.1566286,102.1930017,156335531.0,"Central And Western
",1.0,True,23.0
23.0,22.28107461,114.1522307,315.1624753,89863477.0,"Central And Western
",1.0,False,24.0
24.0,22.27418906,114.1626376,58.80252892,156335535.0,"Central And Western
",1.0,True,25.0
25.0,22.279109,114.1625542,251.2984172,31821609.0,"Central And Western
",1.0,False,26.0
26.0,22.27523723,114.1672802,136.1730143,866232114.0,"Central And Western
",1.0,False,27.0
27.0,22.27303748,114.1661704,198.5109165,23746621.0,"Central And Western
",1.0,False,28.0
28.0,22.2801051,114.1293414,336.9660476,935799417.0,"Central And Western
",1.0,False,29.0
29.0,22.2772884,114.1310244,246.4666445,52139568.0,"Central And Western
",1.0,False,30.0
30.0,22.2807655,114.1642116,81.6216159,51127813.0,"Central And Western
",1.0,True,31.0
31.0,22.27458119,114.1278892,247.3592598,185736993.0,"Central And Western
",1.0,False,32.0
32.0,22.28770676,114.1471814,92.38800759,89141528.0,"Central And Western
",1.0,True,33.0
33.0,22.26802129,114.1630071,198.3190856,43550157.0,"Central And Western
",1.0,False,34.0
34.0,22.283423,114.1612668,313.5508125,494716380.0,"Central And Western
",1.0,False,35.0
35.0,22.2850844,114.1490224,130.9620727,148228844.0,"Central And Western
",1.0,True,36.0
36.0,22.28363569,114.1526497,41.98216669,26305082.0,"Central And Western
",1.0,False,37.0
